Group,Population,Year
C,61016784.0,1990
C,58930350.7345,1991
C,56915261.6084,1992
C,54969077.2788,1993
C,53089441.5599,1994
C,51274078.8164,1995
C,49520791.57,1996
C,47827456.9267,1997
C,46192024.8504,1998
C,44612515.3942,1999
C,43087016.3486,2000
C,41613680.8631,2001
C,40190725.2197,2002
C,38816426.7232,2003
C,37489121.6058,2004
C,36207202.9453,2005
C,34969118.6466,2006
C,33773369.8492,2007
C,32618509.0421,2008
C,31503138.1036,2009
C,30425906.6019,2010
C,29385510.3698,2011
C,28380689.8998,2012
C,27410228.6941,2013
C,26472951.8419,2014
C,25567724.6244,2015
W,212641184.0,1990
W,204194302.29,1991
W,196098215.235,1992
W,188337663.93,1993
W,180898081.458,1994
W,173765561.885,1995
W,166926833.093,1996
W,160369216.57,1997
W,154080609.103,1998
W,148049452.4,1999
W,142264708.261,2000
W,136715833.345,2001
W,131392756.115,2002
W,126285855.597,2003
W,121385940.211,2004
W,116684226.875,2005
W,112172320.972,2006
W,107842202.341,2007
W,103686207.34,2008
W,99697009.0619,2009
W,95867601.604,2010
W,92191288.5655,2011
W,88661668.5044,2012
W,85272619.467,2013
W,82018286.9784,2014
W,78893072.1661,2015
R,47760852.0,1990
R,53469597.431,1991
R,59052885.5919,1992
R,64517401.6157,1993
R,69869557.2916,1994
R,75115503.1508,1995
R,80261139.1281,1996
R,85312130.3449,1997
R,90273914.3417,1998
R,95151713.0344,1999
R,99950542.5298,2000
R,104675223.093,2001
R,109330388.282,2002
R,113920493.389,2003
R,118449823.851,2004
R,122922503.561,2005
R,127342502.844,2006
R,131713644.128,2007
R,136039609.118,2008
R,140323946.671,2009
R,144570079.118,2010
R,148781306.973,2011
R,152960814.805,2012
R,157111677.447,2013
R,161236864.894,2014
R,165339247.14,2015
